date,value,log_return
2003-07-31,65.78562164,0.017865961193765934
2003-08-31,67.14255524,0.020416750869425293
2003-09-30,66.41027069,-0.010966325626069917
2003-10-31,69.96498871,0.052143232054185695
2003-11-30,70.72910309,0.010862174568419647
2003-12-31,74.28768921,0.04908811747631603
2004-01-31,75.75631714,0.019576587813800117
2004-02-29,76.78439331,0.013479571894071007
2004-03-31,75.76732635,-0.013334258466201732
2004-04-30,74.33377838,-0.0191016789786973
2004-05-31,75.60655212,0.01697747773500602
2004-06-30,77.00537872,0.018332325236555036
2004-07-31,74.52439117,-0.03274880286310111
2004-08-31,74.70597076,0.0024335487398614575
2004-09-30,75.45573425,0.009986164191349012
2004-10-31,76.4280014,0.012802956506478225
2004-11-30,79.8303833,0.043555035604145864
