Price,value
Ticker,XLU
date,
2020-11-09,56.038570404052734
2020-11-10,56.84499740600586
2020-11-11,57.05946731567383
2020-11-12,56.14150619506836
2020-11-13,56.69915008544922
2020-11-16,57.27395248413086
2020-11-17,56.150089263916016
2020-11-18,55.05195999145508
2020-11-19,54.50290298461914
2020-11-20,54.5114860534668
2020-11-23,54.52006912231445
2020-11-24,55.10344314575195
2020-11-25,55.24928665161133
2020-11-27,54.70022201538086
2020-11-30,53.910945892333984
2020-12-01,54.28842544555664
2020-12-02,54.64874267578125
2020-12-03,54.08251953125
2020-12-04,53.54205322265625
2020-12-07,53.842315673828125
2020-12-08,53.6793212890625
2020-12-09,53.58494567871094
2020-12-10,53.31040954589844
2020-12-11,53.396209716796875
2020-12-14,53.121673583984375
2020-12-15,54.168312072753906
2020-12-16,53.54205322265625
2020-12-17,53.902374267578125
2020-12-18,53.43910217285156
2020-12-21,52.791961669921875
2020-12-22,52.688140869140625
2020-12-23,52.58432388305664
2020-12-24,52.956336975097656
2020-12-28,53.189937591552734
2020-12-29,53.181297302246094
2020-12-30,53.4494743347168
2020-12-31,54.24542236328125
2021-01-04,52.878482818603516
2021-01-05,52.86981964111328
2021-01-06,54.18486404418945
2021-01-07,53.475433349609375
2021-01-08,53.925323486328125
2021-01-11,53.42353057861328
2021-01-12,53.138031005859375
2021-01-13,54.17621994018555
2021-01-14,53.96858215332031
2021-01-15,54.4963264465332
2021-01-19,54.28868103027344
2021-01-20,54.608787536621094
2021-01-21,54.28868103027344
2021-01-22,54.366546630859375
2021-01-25,55.45664978027344
2021-01-26,54.902950286865234
2021-01-27,53.42353057861328
2021-01-28,54.063758850097656
2021-01-29,53.769596099853516
2021-02-01,54.029136657714844
2021-02-02,54.47037124633789
2021-02-03,54.297332763671875
2021-02-04,54.72126007080078
2021-02-05,55.01542282104492
2021-02-08,54.591487884521484
2021-02-09,54.669349670410156
2021-02-10,54.88564682006836
2021-02-11,54.57418441772461
2021-02-12,54.17621994018555
2021-02-16,53.57060241699219
2021-02-17,53.613861083984375
2021-02-18,53.9339714050293
2021-02-19,53.129371643066406
2021-02-22,52.0911750793457
2021-02-23,52.52375411987305
2021-02-24,51.90950012207031
