date,macro_score,liquidity_score,theta_macro_deg,coherence_macro
1945-10-01,1.257688446957313,,,
1945-11-01,2.103255621773832,,,
1945-12-01,2.0469748428019003,,,
1946-01-01,1.966836358771676,,,
1946-02-01,2.240338789931941,,,
1946-03-01,3.052274072527148,,,
1946-04-01,3.172425018295681,,,
1946-05-01,2.9609149186532235,,,
1946-06-01,3.17086916338508,,,
1946-07-01,4.826281463046828,,,
1946-08-01,4.11349669742372,,,
1946-09-01,2.788969799814708,,,
1946-10-01,3.47654749675169,,,
1946-11-01,3.395265379810122,,,
1946-12-01,2.966062617136813,,,
1947-01-01,2.6703228811534525,,,
1947-02-01,2.450757217219594,,,
1947-03-01,2.4176243786155363,,,
1947-04-01,2.1152662082338853,,,
1947-05-01,1.905881218040838,,,
1947-06-01,1.7630118090212594,,,
1947-07-01,1.7351968444135466,,,
1947-08-01,1.708643527371803,,,
1947-09-01,1.742166300221403,,,
1947-10-01,1.7103786115151909,,,
1947-11-01,1.6805574599797044,,,
1947-12-01,1.7071790464287224,,,
1948-01-01,1.2866275743781586,,,
1948-02-01,1.2897177530045498,,,
1948-03-01,1.187850278237266,,,
1948-04-01,1.2136157265572047,,,
1948-05-01,1.2964261279776514,,,
1948-06-01,1.257857355777839,,,
1948-07-01,1.3514606252870454,,,
1948-08-01,1.1684556864625955,,,
1948-09-01,1.153209489544646,,,
1948-10-01,0.8834586542225532,,,
1948-11-01,1.059630826181871,,,
1948-12-01,0.9490698314361149,,,
1949-01-01,0.25419435118450334,,,
1949-02-01,0.5738661864059156,,,
1949-03-01,0.46594667052314076,,,
1949-04-01,-0.44682652424628544,,,
1949-05-01,-0.0077836167197744,,,
1949-06-01,-0.1505957999638186,,,
1949-07-01,-1.0379783592028549,,,
1949-08-01,-0.4014552119441902,,,
1949-09-01,-0.3677579569840239,,,
1949-10-01,-1.486553139424971,,,
1949-11-01,-0.4319953607386964,,,
1949-12-01,-0.29740826440357326,,,
1950-01-01,-0.5750361324552028,,,
1950-02-01,-0.2727880043243935,,,
1950-03-01,-0.2700155384794149,,,
1950-04-01,-0.11303957232525885,,,
1950-05-01,-0.008919430563409164,,,
1950-06-01,0.11966971649057227,,,
1950-07-01,0.9113452675877776,,,
1950-08-01,1.0579218261218066,,,
1950-09-01,1.3714867823217614,,,
1950-10-01,2.02102722542902,,,
1950-11-01,1.7531786415066037,,,
1950-12-01,2.1295996468763416,,,
1951-01-01,2.784833194462752,,,
1951-02-01,2.5464654834781304,,,
1951-03-01,2.281304867214802,,,
1951-04-01,2.441071110131803,,,
1951-05-01,1.9904458005567707,,,
1951-06-01,1.7646808455020018,,,
1951-07-01,1.7715485785359122,,,
1951-08-01,1.5252376500924048,,,
1951-09-01,1.4849778454941136,,,
1951-10-01,1.413116904066587,,,
1951-11-01,1.4125289894371287,,,
1951-12-01,1.4719438231885462,,,
1952-01-01,1.0724058888296537,,,
1952-02-01,1.2895742384635227,,,
1952-03-01,1.276509248535312,,,
1952-04-01,0.8087881574049689,,,
1952-05-01,1.1622763803707994,,,
1952-06-01,1.1223774683361765,,,
1952-07-01,0.7017926005228655,,,
1952-08-01,1.0645575208872204,,,
1952-09-01,1.0332983241870581,,,
1952-10-01,0.7959021792291663,,,
1952-11-01,0.9802522828104913,,,
1952-12-01,0.9279451790899946,,,
1953-01-01,0.7219588791257472,,,
1953-02-01,0.8378972386274763,,,
1953-03-01,0.837183096124896,,,
1953-04-01,0.6956347065366772,,,
1953-05-01,0.7541113309758994,,,
1953-06-01,0.6767589817046241,,,
1953-07-01,0.5865351614821144,,,
1953-08-01,0.7051105330316529,,,
1953-09-01,0.7148352046437839,,,
1953-10-01,0.07973332045281711,,,
1953-11-01,0.3926756088360695,,,
1953-12-01,0.29695950524580933,,,
1954-01-01,-0.18966292311837307,,,
1954-02-01,0.3364237324237218,,,
1954-03-01,0.1746106904919821,,,
1954-04-01,-0.45264930200006653,,,
1954-05-01,0.20914162733400565,,,
1954-06-01,0.10952857229580243,,,
1954-07-01,-0.40008273603426964,,,
1954-08-01,0.03500351217217477,,,
